ID,Question Type,Question,Question Likelihood,Question Rater Name + Email,Location,Relevant Data,Answer,Answer Review Completed,Comments
11,Actions,Which co-benefits has the city identified for adaptation actions?,1 - Low,andrea.segundo@cdp.net,"Miami, United States","{
    ""actions"": [
        {
            ""title"": ""Miami Forever Bond - Seawall and Stormwater Pump Station Upgrades"",
            ""coBenefits"": [
                ""Creation of local engineering and construction jobs"",
                ""Protection of high-value real estate"",
                ""Improved water quality in Biscayne Bay""
            ]
        },
        {
            ""title"": ""Resilient Neighborhoods Program: Cooling Centers and Green Infrastructure"",
            ""coBenefits"": [
                ""Enhanced public health outcomes for vulnerable groups"",
                ""Improved neighborhood aesthetics and social cohesion"",
                ""Reduced stormwater runoff""
            ]
        },
        {
            ""title"": ""Public Climate Risk Information Campaign"",
            ""coBenefits"": [
                ""Increased citizen preparedness"",
                ""Greater public support for adaptation investments""
            ]
        }
    ]
}","The city has identified several co-benefits for its adaptation actions.\n\nThe **'Miami Forever Bond'** upgrades include the **creation of jobs**, **protection of real estate**, and **improved water quality**.\n\nThe **'Resilient Neighborhoods Program'** aims for **enhanced public health**, **improved neighborhood aesthetics**, and **reduced stormwater runoff**.\n\nFinally, the **'Public Climate Risk Information Campaign'** has co-benefits of **increased citizen preparedness** and **greater public support for adaptation investments**.",No,
12,Actions,How effective are the actions implemented by the city in increasing resilience?,1 - Low,andrea.segundo@cdp.net,"Reykjavik, Iceland","{
    ""goals"": [
        {
            ""description"": ""Protect 90% of critical coastal infrastructure and residential areas from a 1-in-100-year storm surge event through a combination of hard and soft engineering solutions."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2040
        },
        {
            ""description"": ""Enhance the resilience of the city's power grid and building stock to withstand wind speeds up to 45 m/s, ensuring no more than a 4-hour power outage for 95% of the population during severe storms."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_WIND"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2035
        },
        {
            ""description"": ""Improve winter maintenance capacity to ensure all primary and secondary roads are cleared within 12 hours of a major snowfall event, and enhance public safety programs for icy conditions."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""SNOW_AND_ICE"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2030
        }
    ],
    ""actions"": [
        {
            ""title"": ""Reykjavik Coastal Resilience Program - Phase 1: Sea Wall & Dune Restoration"",
            ""status"": {
                ""statusType"": ""FEASIBILITY_FINALIZED_PARTIAL_FINANCE"",
                ""otherStatusDetails"": ""Federal co-financing application pending.""
            },
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ]
        },
        {
            ""title"": ""Grid Hardening and Undergrounding Feasibility Study"",
            ""status"": {
                ""statusType"": ""PRE_FEASIBILITY_STUDY"",
                ""otherStatusDetails"": """"
            },
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_WIND"",
                    ""otherHazardDetails"": """"
                }
            ]
        },
        {
            ""title"": ""Smart Winter Maintenance Fleet Upgrade"",
            ""status"": {
                ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_LT_ONE_YEAR"",
                ""otherStatusDetails"": """"
            },
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""SNOW_AND_ICE"",
                    ""otherHazardDetails"": """"
                }
            ]
        }
    ]
}","The available data does not evaluate the effectiveness of the actions but details their status.\n\nTo address **snow and ice**, a **'Smart Winter Maintenance Fleet Upgrade'** is currently underway and expected to be completed in less than a year.\n\nFor **coastal flooding**, the **'Reykjavik Coastal Resilience Program'** has finalized its feasibility study but is awaiting full financing.\n\nFor **extreme wind**, a **'Grid Hardening and Undergrounding Feasibility Study'** is in the pre-feasibility stage.\n\nThe city has set resilience goals for these hazards with target years of 2030, 2035, and 2040.",No,
13,Actions,What is the rate of action implementation for the city?,1 - Low,andrea.segundo@cdp.net,"Ulaanbaatar, Mongolia","""governmentActions"": {
                ""goals"": [
                    {
                        ""description"": ""To ensure 100% of the urban population has reliable access to heating and electricity during extreme cold events by 2035."",
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""EXTREME_COLD"",
                                ""otherHazardDetails"": """"
                            }
                        ],
                        ""targetYear"": 2035
                    },
                    {
                        ""description"": ""Reduce winter-related traffic accidents and disruptions by 30% by 2030 through improved municipal response to snow and ice."",
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""SNOW_AND_ICE"",
                                ""otherHazardDetails"": """"
                            }
                        ],
                        ""targetYear"": 2030
                    }
                ],
                ""actions"": [
                    {
                        ""title"": ""Winterization and Insulation Subsidy Program for Ger Households"",
                        ""status"": {
                            ""statusType"": ""ACTION_IN_OPERATION_TARGETED"",
                            ""otherStatusDetails"": ""Program is active and targeting 5,000 households annually in the most vulnerable districts.""
                        },
                        ""coBenefits"": [
                            ""Improved public health outcomes"",
                            ""Reduced household energy expenditure"",
                            ""Decreased air pollution from less coal burning""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""EXTREME_COLD"",
                                ""otherHazardDetails"": """"
                            }
                        ]
                    },
                    {
                        ""title"": ""Modernization of Snow Clearance and Road De-icing Equipment"",
                        ""status"": {
                            ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                            ""otherStatusDetails"": """"
                        },
                        ""coBenefits"": [
                            ""Enhanced road safety"",
                            ""Improved economic continuity"",
                            ""Faster emergency response times""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""SNOW_AND_ICE"",
                                ""otherHazardDetails"": """"
                            }
                        ]
                    }
                ],
                ""projects"": [
                    {
                        ""title"": ""Heating Plant No. 5 Expansion and Grid Modernization"",
                        ""status"": ""PROJECT_FEASIBILITY"",
                        ""fundedPercent"": 35.0,
                        ""totalAmount"": 210000000000
                    },
                    {
                        ""title"": ""City-wide Early Warning System for Extreme Weather"",
                        ""status"": ""SCOPING"",
                        ""fundedPercent"": 10.0,
                        ""totalAmount"": 15000000000
                    }
                ]
            }",The available data does not contain information on the overall rate of action implementation for the city.\n\nIt details the status of individual government actions and projects.,No,
14,Actions,Are there hazards identified with no associated goal?,2 - Medium,andrea.segundo@cdp.net,"Miami, United States","{
    ""hazards"": [
        {
            ""hazard"": {
                ""hazardType"": ""COASTAL_FLOODING"",
                ""otherHazardDetails"": """"
            },
            ""source"": ""NOAA Sea Level Rise Viewer and Miami-Dade County Flood Zone Maps"",
            ""description"": ""Recurrent 'sunny-day' tidal flooding in low-lying areas, particularly Miami Beach, Downtown, and Shorecrest, driven by sea-level rise. This disrupts transportation networks, damages building foundations, and causes saltwater intrusion into the Biscayne Aquifer."",
            ""vulnerableGroups"": [
                ""Residents in low-elevation coastal neighborhoods"",
                ""Elderly populations with mobility challenges"",
                ""Small business owners in flood-prone commercial districts""
            ],
            ""proportionExposedRange"": ""Approximately 30-40% of the city's land area is highly susceptible."",
            ""impact"": ""Significant damage to public infrastructure (roads, drainage), devaluation of real estate, and increased costs for flood insurance and property maintenance."",
            ""mostExposedSectors"": [
                ""REAL_ESTATE"",
                ""TRANSPORTATION_STORAGE"",
                ""ACCOMMODATION_FOOD_SERVICE""
            ]
        },
        {
            ""hazard"": {
                ""hazardType"": ""TROPICAL_CYCLONE"",
                ""otherHazardDetails"": """"
            },
            ""source"": ""National Hurricane Center (NHC) Historical Data and Saffir-Simpson Scale"",
            ""description"": ""High frequency of exposure to tropical cyclones, including major hurricanes, which bring destructive winds, storm surge, and extreme rainfall. These events threaten lives and can cause catastrophic damage to the built environment and energy grid."",
            ""vulnerableGroups"": [
                ""Populations residing in coastal areas exposed to storm surge"",
                ""Residents of older buildings not built to modern hurricane codes"",
                ""Individuals dependent on electricity for medical equipment""
            ],
            ""proportionExposedRange"": ""100% of the population and assets are at risk during hurricane season."",
            ""impact"": ""Widespread power outages, severe structural damage to buildings and infrastructure, business interruption, and potential for large-scale displacement."",
            ""mostExposedSectors"": [
                ""ELECTRICITY_GAS_STEAM_AIR"",
                ""CONSTRUCTION"",
                ""PUBLIC_ADMIN_DEFENCE"",
                ""FINANCIAL_INSURANCE""
            ]
        },
        {
            ""hazard"": {
                ""hazardType"": ""EXTREME_HEAT"",
                ""otherHazardDetails"": """"
            },
            ""source"": ""National Weather Service (NWS) Heat Index and CDC Climate and Health Data"",
            ""description"": ""A rising number of days per year with a heat index exceeding 105\u00b0F (40.6\u00b0C), particularly during summer months. This trend increases the incidence of heat-related illnesses and places significant strain on the electrical grid due to high air conditioning demand."",
            ""vulnerableGroups"": [
                ""Outdoor workers (e.g., construction, landscaping)"",
                ""Low-income households without access to or unable to afford air conditioning"",
                ""The elderly and young children""
            ],
            ""proportionExposedRange"": ""Over 90% of the population is regularly exposed to dangerous heat levels during the summer."",
            ""impact"": ""Increased public health emergencies and hospitalizations, reduced labor productivity, and heightened risk of rolling blackouts during peak demand."",
            ""mostExposedSectors"": [
                ""HUMAN_HEALTH_SOCIAL_WORK"",
                ""CONSTRUCTION"",
                ""AGRICULTURE"",
                ""ELECTRICITY_GAS_STEAM_AIR""
            ]
        }
    ],
    ""goals"": [
        {
            ""description"": ""Ensure all critical public infrastructure (hospitals, shelters, utilities) is resilient to a Category 4 hurricane storm surge and wind loads by 2040."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""TROPICAL_CYCLONE"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""EXTREME_WIND"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2040
        },
        {
            ""description"": ""Reduce the impact of urban heat islands by increasing tree canopy coverage by 30% and implementing cool pavement standards for 50% of public surfaces by 2035."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_HEAT"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""HEAT_STRESS"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2035
        }
    ]
}","Yes, **Coastal Flooding** is an identified hazard that does not have a corresponding government goal listed.\n\nThe goals provided address **Tropical Cyclone**, **Extreme Wind**, **Extreme Heat**, and **Heat Stress**.",No,
15,Actions,Show me water-based actions?,2 - Medium,andrea.segundo@cdp.net,"Ho Chi Minh City, Vietnam","{
    ""goals"": [
        {
            ""description"": ""Protect major industrial parks and residential areas from a 1-in-100-year river flood event by 2035 through a comprehensive system of dikes and sluice gates."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""RIVER_FLOODING"",
                    ""otherHazardDetails"": null
                }
            ],
            ""targetYear"": 2035
        },
        {
            ""description"": ""Reduce urban flood inundation depth by 30% in 13 core districts by 2030 through upgraded drainage capacity and the development of water retention areas."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""URBAN_FLOODING"",
                    ""otherHazardDetails"": null
                },
                {
                    ""hazardType"": ""HEAVY_PRECIPITATION"",
                    ""otherHazardDetails"": null
                }
            ],
            ""targetYear"": 2030
        }
    ],
    ""actions"": [
        {
            ""title"": ""Integrated Urban Drainage and Flood Management Master Plan"",
            ""status"": {
                ""statusType"": ""FEASIBILITY_FINALIZED_PARTIAL_FINANCE"",
                ""otherStatusDetails"": ""Seeking international development bank co-financing for several key components.""
            },
            ""coBenefits"": [
                ""Improved public health"",
                ""Enhanced water quality in canals"",
                ""Increased real estate value in protected areas""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""URBAN_FLOODING"",
                    ""otherHazardDetails"": null
                },
                {
                    ""hazardType"": ""RIVER_FLOODING"",
                    ""otherHazardDetails"": null
                }
            ]
        },
        {
            ""title"": ""Green Infrastructure Incentive Program for Private Development"",
            ""status"": {
                ""statusType"": ""ACTION_IN_OPERATION_TARGETED"",
                ""otherStatusDetails"": ""Pilot program active in Thu Duc City and District 7, offering density bonuses for incorporating green roofs and permeable surfaces.""
            },
            ""coBenefits"": [
                ""Reduced urban heat island effect"",
                ""Improved air quality"",
                ""Increased biodiversity""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""URBAN_FLOODING"",
                    ""otherHazardDetails"": null
                },
                {
                    ""hazardType"": ""HEAT_STRESS"",
                    ""otherHazardDetails"": null
                }
            ]
        }
    ],
    ""projects"": [
        {
            ""title"": ""Thu Duc City Right Bank Anti-Flooding Embankment and Sluice Gate System"",
            ""status"": ""IMPLEMENTATION"",
            ""fundedPercent"": 75,
            ""totalAmount"": 12000000000000
        },
        {
            ""title"": ""Nhieu Loc - Thi Nghe Canal Basin Wastewater and Flood Control - Phase 3"",
            ""status"": ""PROJECT_FEASIBILITY"",
            ""fundedPercent"": 20,
            ""totalAmount"": 8500000000000
        }
    ]
}",**Ho Chi Minh City's water-based actions** include goals to reduce **urban flood depth** by **30%** by **2030** and protect against **major river floods** by **2035**.\n\n**Key initiatives** are an **Integrated Urban Drainage and Flood Management Master Plan** and a **Green Infrastructure Incentive Program**.\n\n**Specific projects** include the **Thu Duc City Anti-Flooding Embankment** and the **Nhieu Loc - Thi Nghe Canal Basin Wastewater and Flood Control project**.,No,
16,Actions,What is the city's goal regarding drinking water?,2 - Medium,andrea.segundo@cdp.net,"Cape Town, South Africa","{
    ""description"": ""Ensure a safe, reliable, and resilient drinking water supply for all residents by diversifying water sources to include at least 300 million litres per day from non-surface water sources, such as desalination, groundwater, and water reuse, reducing reliance on rain-fed dams."",
    ""hazardsAddressed"": [
        {
            ""hazardType"": ""DROUGHT"",
            ""otherHazardDetails"": """"
        },
        {
            ""hazardType"": ""WATER_STRESS"",
            ""otherHazardDetails"": """"
        },
        {
            ""hazardType"": ""INCREASED_WATER_DEMAND"",
            ""otherHazardDetails"": """"
        }
    ],
    ""targetYear"": 2030
}","By **2030**, **Cape Town's goal** is to ensure a safe, reliable, and resilient **drinking water supply** for all residents.\n\nThis will be achieved by **diversifying water sources** to include **at least 300 million litres per day** from **non-surface sources** like **desalination**, **groundwater**, and **water reuse**, thereby reducing reliance on rain-fed dams.",No,
17,Actions,Are there any goals set for the year 2050?,2 - Medium,andrea.segundo@cdp.net,"Reykjavik, Iceland","{
    ""goals"": [
        {
            ""description"": ""Protect 90% of critical coastal infrastructure and residential areas from a 1-in-100-year storm surge event through a combination of hard and soft engineering solutions."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2040
        },
        {
            ""description"": ""Enhance the resilience of the city's power grid and building stock to withstand wind speeds up to 45 m/s, ensuring no more than a 4-hour power outage for 95% of the population during severe storms."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_WIND"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2035
        },
        {
            ""description"": ""Improve winter maintenance capacity to ensure all primary and secondary roads are cleared within 12 hours of a major snowfall event, and enhance public safety programs for icy conditions."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""SNOW_AND_ICE"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2030
        }
    ]
}","Based on the available data, there are no goals set for the year 2050.\n\nThe listed goals have target years of **2040**, **2035**, and **2030**.",Yes,
18,Actions,What details are provided about the wastewater treatment plant goal?,2 - Medium,andrea.segundo@cdp.net,"Miami, United States","{
    ""projects"": [
        {
            ""title"": ""Virginia Key Wastewater Treatment Plant Flood Protection and Hardening"",
            ""status"": ""PROJECT_FEASIBILITY"",
            ""fundedPercent"": 35,
            ""totalAmount"": 275000000
        }
    ]
}","The available data does not list a specific goal for the wastewater treatment plant.\n\nHowever, it details a project named **'Virginia Key Wastewater Treatment Plant Flood Protection and Hardening'**.\n\nThis project is currently in the **feasibility stage**, has a total cost of **$275,000,000**, and is **35% funded**.",No,
19,Actions,What action is being taken regarding mangroves?,2 - Medium,andrea.segundo@cdp.net,"Mumbai, India","""actions"": [
                    {
                        ""title"": ""Mumbai Climate Action Plan (MCAP) - Urban Greening and Cool Roofs Initiative"",
                        ""status"": {
                            ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                            ""otherStatusDetails"": """"
                        },
                        ""coBenefits"": [
                            ""Improved air quality"",
                            ""Reduced urban heat island effect"",
                            ""Enhanced biodiversity"",
                            ""Improved public health and well-being""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""HEAT_STRESS"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""LOSS_OF_GREEN_SPACE"",
                                ""otherHazardDetails"": """"
                            }
                        ]
                    },
                    {
                        ""title"": ""Establishment of an Integrated Flood Early Warning System (iFLOWS-Mumbai)"",
                        ""status"": {
                            ""statusType"": ""ACTION_IN_OPERATION_JURISDICTION_WIDE"",
                            ""otherStatusDetails"": ""System is fully operational, with ongoing work to improve forecast resolution and public dissemination channels.""
                        },
                        ""coBenefits"": [
                            ""Increased public safety"",
                            ""Reduced economic disruption"",
                            ""Improved disaster response coordination""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""URBAN_FLOODING"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""COASTAL_FLOODING"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""TROPICAL_CYCLONE"",
                                ""otherHazardDetails"": """"
                            }
                        ]
                    }
                ]",There is no information about actions being taken regarding mangroves.,No,
20,Actions,What ecosystem-based actions address biodiversity loss?,2 - Medium,andrea.segundo@cdp.net,"Cape Town, South Africa","{
    ""title"": ""Urban Greening Initiative for Heat Island Mitigation"",
    ""status"": {
        ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
        ""otherStatusDetails"": ""Focus on planting indigenous, drought-tolerant trees in priority neighborhoods identified through thermal mapping.""
    },
    ""coBenefits"": [
        ""Improved air quality"",
        ""Enhanced biodiversity"",
        ""Increased property values"",
        ""Improved mental well-being and recreational opportunities""
    ],
    ""hazardsAddressed"": [
        {
            ""hazardType"": ""EXTREME_HEAT"",
            ""otherHazardDetails"": """"
        },
        {
            ""hazardType"": ""LOSS_OF_GREEN_SPACE"",
            ""otherHazardDetails"": """"
        },
        {
            ""hazardType"": ""URBAN_FLOODING"",
            ""otherHazardDetails"": ""Green spaces improve stormwater absorption.""
        }
    ]
}","**Cape Town's** **'Urban Greening Initiative for Heat Island Mitigation'** is an action that addresses **biodiversity**.\n\nOne of its listed co-benefits is **'Enhanced biodiversity'**, and it involves planting **indigenous, drought-tolerant trees**.",No,
21,Actions,What is the status of the air quality initiatives?,2 - Medium,andrea.segundo@cdp.net,"Los Angeles, United States","{
    ""actions"": [
        {
            ""title"": ""Clean Air Action Plan: Transition to Zero-Emission Drayage Trucks at the Port"",
            ""status"": {
                ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                ""otherStatusDetails"": ""Incentive programs and regulations are in place, with phased targets for fleet conversion running through 2035.""
            },
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""OTHERS"",
                    ""otherHazardDetails"": ""Air Pollution""
                },
                {
                    ""hazardType"": ""HEAT_STRESS"",
                    ""otherHazardDetails"": ""Reduces ozone precursors which are exacerbated by heat.""
                }
            ]
        }
    ]
}","An **air quality initiative**, the **'Clean Air Action Plan: Transition to Zero-Emission Drayage Trucks at the Port'**, is **currently underway** with **completion expected to take more than one year**.\n\n**Incentive programs and regulations** are in place, with **phased targets for fleet conversion running through 2035**.",Yes,
22,Actions,"Is there a goal related to wastewater treatment, and what is the target year?",2 - Medium,andrea.segundo@cdp.net,"Miami, United States","{
    ""goals"": [
        {
            ""description"": ""Ensure all critical public infrastructure (hospitals, shelters, utilities) is resilient to a Category 4 hurricane storm surge and wind loads by 2040."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""TROPICAL_CYCLONE"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""EXTREME_WIND"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2040
        }
    ],
    ""projects"": [
        {
            ""title"": ""Virginia Key Wastewater Treatment Plant Flood Protection and Hardening"",
            ""status"": ""PROJECT_FEASIBILITY"",
            ""fundedPercent"": 35,
            ""totalAmount"": 275000000
        }
    ]
}","While there is no specific goal that mentions **wastewater treatment**, there is a related goal to make all **critical public infrastructure**, including **utilities**, resilient to a **Category 4 hurricane** by the target year of **2040**.\n\nAdditionally, there is a project in the feasibility stage titled **'Virginia Key Wastewater Treatment Plant Flood Protection and Hardening'**.",No,
23,Actions,What is the implementation status of Zero-Emission?,2 - Medium,andrea.segundo@cdp.net,"Phoenix, United States","""actions"": [
                    {
                        ""title"": ""Clean Air Action Plan: Transition to Zero-Emission Drayage Trucks at the Port"",
                        ""status"": {
                            ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                            ""otherStatusDetails"": ""Incentive programs and regulations are in place, with phased targets for fleet conversion running through 2035.""
                        },
                        ""coBenefits"": [
                            ""Improved public health in port-adjacent communities"",
                            ""Reduction in GHG and NOx emissions"",
                            ""Stimulation of green technology market"",
                            ""Noise reduction""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""OTHERS"",
                                ""otherHazardDetails"": ""Air Pollution""
                            },
                            {
                                ""hazardType"": ""HEAT_STRESS"",
                                ""otherHazardDetails"": ""Reduces ozone precursors which are exacerbated by heat.""
                            }
                        ]
                    },
                    {
                        ""title"": ""Cool Streets LA Program"",
                        ""status"": {
                            ""statusType"": ""ACTION_IN_OPERATION_TARGETED"",
                            ""otherStatusDetails"": ""Program is active and being implemented in targeted, high-heat vulnerability neighborhoods in the San Fernando Valley and East LA.""
                        },
                        ""coBenefits"": [
                            ""Reduced urban heat island effect"",
                            ""Lowered local ambient temperatures"",
                            ""Energy savings for adjacent buildings"",
                            ""Improved pedestrian comfort""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""EXTREME_HEAT"",
                                ""otherHazardDetails"": """"
                            }
                        ]
                    }
                ]","The implementation status of the **Zero-Emission Drayage Trucks at the Port** is **""Implementation Underway, Completion Greater Than One Year""**.\n\n**Incentive programs and regulations** are in place, with **phased targets for fleet conversion running through 2035**.",No,
24,Actions,Which actions are being implemented to improve air quality?,2 - Medium,andrea.segundo@cdp.net,"Mexico City, Mexico","{
                    ""title"": ""Clean Air Action Plan: Transition to Zero-Emission Port and Freight Operations"",
                    ""status"": {
                        ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                        ""otherStatusDetails"": ""Phased implementation of clean truck programs and vessel electrification infrastructure.""
                    },
                    ""coBenefits"": [
                        ""Improved public health"",
                        ""Reduced greenhouse gas emissions"",
                        ""Green job creation"",
                        ""Improved air quality""
                    ],
                    ""hazardsAddressed"": [
                        {
                            ""hazardType"": ""OTHERS"",
                            ""otherHazardDetails"": ""Poor Air Quality (PM2.5, NOx, Ozone)""
                        }
                    ]
                }",Phased implementation of **clean truck programs** and **vessel electrification infrastructure** are being implemented to improve air quality.,No,
25,Actions,How is the city funding its adaptation plans and action?,2 - Medium,andrea.segundo@cdp.net,"Miami, United States","{
    ""governmentActions"": {
        ""actions"": [
            {
                ""title"": ""Miami Forever Bond - Seawall and Stormwater Pump Station Upgrades"",
                ""status"": {
                    ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                    ""otherStatusDetails"": """"
                },
                ""coBenefits"": [
                    ""Creation of local engineering and construction jobs"",
                    ""Protection of high-value real estate"",
                    ""Improved water quality in Biscayne Bay""
                ],
                ""hazardsAddressed"": [
                    {
                        ""hazardType"": ""COASTAL_FLOODING"",
                        ""otherHazardDetails"": """"
                    },
                    {
                        ""hazardType"": ""HEAVY_PRECIPITATION"",
                        ""otherHazardDetails"": """"
                    }
                ]
            }
        ],
        ""projects"": [
            {
                ""title"": ""Virginia Key Wastewater Treatment Plant Flood Protection and Hardening"",
                ""status"": ""PROJECT_FEASIBILITY"",
                ""fundedPercent"": 35.0,
                ""totalAmount"": 275000000
            },
            {
                ""title"": ""Biscayne Bay Mangrove Restoration and Living Shoreline Project"",
                ""status"": ""PROJECT_STRUCTURING"",
                ""fundedPercent"": 60.0,
                ""totalAmount"": 85000000
            }
        ]
    }
}","The city is funding its adaptation through mechanisms like the **'Miami Forever Bond'** for seawall and stormwater upgrades.\n\nAdditionally, specific projects have secured partial funding: the **Virginia Key Wastewater Treatment Plant project**, with a total cost of **$275 million**, is **35% funded**, and the **Biscayne Bay Mangrove Restoration project**, with a total cost of **$85 million**, is **60% funded**.",No,
26,Actions,"Which actions are being implemented to improve sewerage, wastewater
management and remediation?",2 - Medium,andrea.segundo@cdp.net,"Jakarta, Indonesia","{
    ""actions"": [
        {
            ""title"": ""City-wide Wastewater Management System Upgrade Program"",
            ""status"": {
                ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                ""otherStatusDetails"": ""Phased roll-out across 14 identified sanitation management zones. Currently active in Zones 1 and 6.""
            },
            ""coBenefits"": [
                ""Improved river and coastal water quality"",
                ""Reduced public health risks from waterborne pathogens"",
                ""Enhanced ecosystem health in the Ciliwung River and Jakarta Bay"",
                ""Green job creation in construction and utility operations""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""URBAN_FLOODING"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""INFECTIOUS_DISEASE"",
                    ""otherHazardDetails"": """"
                }
            ]
        }
    ],
    ""projects"": [
        {
            ""title"": ""Jakarta Sewerage Development Project (JSDP) - Zone 1 & 6 Expansion"",
            ""status"": ""IMPLEMENTATION"",
            ""fundedPercent"": 85,
            ""totalAmount"": 8100000000000
        }
    ]
}","**Jakarta** is implementing the **""City-wide Wastewater Management System Upgrade Program,""** which is currently active in **Zones 1 and 6**.\n\nAdditionally, the **""Jakarta Sewerage Development Project (JSDP) - Zone 1 & 6 Expansion""** is in implementation.",Yes,
